MSA,Date,zillowhousesales,Population,creditunion,mortgageloans,refinancing,home_homesforsale,realtorzillow,car_carsforsale,carloancalculator,dmv,autotrader,flight,hotel,unemploymentbenefits,job,schoolclinic,walmart,starbucksapple,tripadvisor_expedia
Nashville,2008-04,2445,1519391,33,70,12,66,14,66,16,23,19,33,79,0,59,64,24,41,34
Nashville,2008-05,2501,1519530,27,58,16,66,20,75,9,22,20,33,82,12,58,64,27,42,38
Nashville,2008-06,2711,1519670,25,70,20,73,20,80,10,26,30,44,95,12,61,50,31,41,35
Nashville,2008-07,2715,1519810,34,50,9,79,22,80,0,28,23,32,88,12,63,60,30,49,42
Nashville,2008-08,2409,1519950,30,51,24,70,22,75,0,29,18,32,74,23,62,77,26,44,32
Nashville,2008-09,2142,1520090,33,60,14,60,17,59,8,27,33,25,69,21,64,70,24,43,30
Nashville,2008-10,1981,1520230,33,50,13,61,14,58,15,30,19,32,65,20,60,69,28,45,29
Nashville,2008-11,1439,1520369,32,66,11,59,15,60,8,16,30,29,60,32,60,67,47,46,27
Nashville,2008-12,1535,1520509,39,82,44,67,15,69,8,17,18,34,62,10,54,62,53,49,25
Nashville,2009-01,1252,1520649,35,90,46,75,13,65,29,23,32,34,68,56,77,72,31,39,35
Nashville,2009-02,1410,1522390,35,80,21,68,19,70,0,18,29,40,69,62,64,67,24,39,37
Nashville,2009-03,1727,1524131,36,94,54,82,22,70,14,18,38,38,75,62,65,71,29,39,36
Nashville,2009-04,1889,1525872,36,67,49,70,20,62,27,22,22,37,63,13,59,65,25,39,23
Nashville,2009-05,1931,1527613,28,69,23,72,25,82,7,25,20,39,75,38,68,68,33,34,23
Nashville,2009-06,2412,1529354,37,71,30,77,20,80,38,25,30,46,92,40,72,49,32,46,33
Nashville,2009-07,2453,1531095,40,69,16,82,26,81,7,25,29,43,94,82,69,60,28,39,39
Nashville,2009-08,2262,1532836,35,61,17,70,20,78,21,26,33,38,72,69,72,85,27,46,28
Nashville,2009-09,2232,1534577,35,52,12,67,20,64,20,20,35,39,72,21,69,82,31,48,29
Nashville,2009-10,2330,1536318,38,52,18,65,17,71,6,24,25,41,70,38,63,77,29,47,30
Nashville,2009-11,2188,1538059,39,50,26,71,16,68,7,18,23,36,60,65,64,71,54,47,21
Nashville,2009-12,1982,1539800,41,48,21,67,16,66,7,21,20,38,58,17,53,58,54,46,23
Nashville,2010-01,1328,1541541,42,60,21,74,20,69,12,19,27,42,66,23,76,75,32,52,34
Nashville,2010-02,1451,1543868,47,51,26,74,21,73,12,21,30,45,74,48,66,79,28,40,42
Nashville,2010-03,2239,1546196,45,58,20,75,25,72,6,29,39,46,80,48,69,69,29,39,32
Nashville,2010-04,2371,1548523,39,48,24,71,18,72,34,23,20,41,69,44,65,69,29,42,33
Nashville,2010-05,2438,1550851,43,44,24,70,23,70,0,25,39,43,79,38,69,73,33,40,33
Nashville,2010-06,2751,1553178,50,70,23,79,18,77,12,31,37,48,85,63,70,51,33,53,40
Nashville,2010-07,1950,1555506,48,49,48,75,26,72,33,27,40,39,84,80,69,58,34,46,41
Nashville,2010-08,1896,1557833,48,66,42,71,20,71,5,29,40,37,71,27,71,87,34,43,36
Nashville,2010-09,1905,1560160,40,55,19,72,23,70,30,23,38,32,68,36,64,82,31,55,33
Nashville,2010-10,1676,1562488,47,45,36,61,23,64,10,32,35,29,59,48,61,70,35,52,26
Nashville,2010-11,1621,1564815,45,46,22,71,24,63,33,20,46,38,58,37,63,73,60,54,25
Nashville,2010-12,1694,1567143,50,33,21,66,17,64,19,27,36,35,55,54,53,63,58,55,25
Nashville,2011-01,1353,1569470,39,47,29,69,26,63,29,25,39,39,62,54,64,75,34,53,36
Nashville,2011-02,1430,1571635,46,47,25,72,23,66,20,24,33,37,61,29,57,70,34,48,36
Nashville,2011-03,1735,1573801,38,47,22,73,25,70,23,24,35,38,69,18,58,62,32,52,33
Nashville,2011-04,1730,1575966,36,40,23,69,22,70,13,25,34,38,60,30,58,62,34,48,32
Nashville,2011-05,2052,1578131,36,43,11,73,29,72,10,29,37,41,72,26,65,63,36,48,40
Nashville,2011-06,2179,1580297,39,46,23,75,30,79,20,30,31,46,79,37,67,47,39,51,50
Nashville,2011-07,2043,1582462,41,44,21,76,32,74,34,33,36,45,79,39,64,59,40,51,40
Nashville,2011-08,2269,1584627,34,54,30,69,34,72,18,29,39,38,61,42,67,77,39,56,36
Nashville,2011-09,1965,1586793,41,46,23,69,21,67,27,21,30,38,54,30,62,69,35,58,37
Nashville,2011-10,1757,1588958,41,51,31,67,22,67,14,23,41,38,52,32,57,65,42,79,32
Nashville,2011-11,1710,1591123,44,46,25,65,22,63,11,22,32,32,46,13,52,61,67,71,23
Nashville,2011-12,1842,1593289,42,46,20,63,27,66,13,21,45,32,50,22,48,51,63,69,26
Nashville,2012-01,1630,1595454,40,53,25,72,30,66,28,24,58,37,54,21,63,65,39,61,37
Nashville,2012-02,1656,1604383,39,53,27,69,29,71,9,23,49,35,58,8,56,64,39,51,38
Nashville,2012-03,2018,1613312,37,50,23,70,33,75,20,24,47,36,59,9,52,59,39,63,41
Nashville,2012-04,2296,1622241,39,52,22,72,37,68,28,23,55,36,57,21,60,61,37,54,36
Nashville,2012-05,2548,1631170,38,51,20,72,31,76,28,26,42,38,67,19,60,57,37,52,52
Nashville,2012-06,2556,1640099,40,56,30,74,33,78,28,27,45,41,77,13,56,44,40,54,47
Nashville,2012-07,2772,1649029,39,55,34,77,36,74,36,28,45,38,68,26,61,60,44,58,46
Nashville,2012-08,2649,1657958,39,47,23,70,36,72,44,25,34,33,54,14,61,78,39,62,42
Nashville,2012-09,2127,1666887,34,50,25,70,34,65,24,21,40,29,51,11,58,67,41,90,36
Nashville,2012-10,2376,1675816,38,45,22,65,30,64,20,23,35,32,47,16,53,61,39,73,38
Nashville,2012-11,1979,1684745,50,38,22,64,22,63,18,27,35,31,40,20,48,58,78,71,28
Nashville,2012-12,2090,1693674,53,32,13,65,22,61,21,31,39,31,42,25,41,56,68,72,27
Nashville,2013-01,1850,1702603,37,50,24,77,33,66,25,26,42,35,52,40,60,70,40,60,37
Nashville,2013-02,1715,1704929,40,48,26,74,39,67,27,23,50,37,54,8,56,64,38,56,39
Nashville,2013-03,2214,1707255,36,51,21,76,38,71,28,27,52,39,58,17,53,58,40,53,39
Nashville,2013-04,2838,1709581,38,44,25,73,38,73,24,23,49,34,54,12,55,56,39,53,37
Nashville,2013-05,2975,1711907,41,42,20,77,39,76,20,26,50,39,62,17,56,57,41,55,44
Nashville,2013-06,3023,1714233,43,41,22,79,39,81,32,26,46,39,65,14,57,43,46,59,46
Nashville,2013-07,3280,1716559,50,40,15,77,37,83,25,33,47,38,67,17,56,52,45,57,44
Nashville,2013-08,2889,1718885,51,35,15,73,34,77,11,36,46,31,53,12,58,73,44,58,41
Nashville,2013-09,2576,1721211,35,36,8,71,37,72,32,20,40,32,51,12,54,67,41,83,36
Nashville,2013-10,2592,1723537,39,39,12,69,37,68,23,26,37,30,52,24,55,59,44,66,37
Nashville,2013-11,2188,1725863,44,28,10,69,29,68,13,24,35,30,43,19,52,57,77,62,23
Nashville,2013-12,2317,1728189,41,31,7,72,32,67,21,21,33,34,47,12,46,54,72,71,32
Nashville,2014-01,1912,1730515,38,40,17,78,42,70,26,24,39,43,51,30,62,69,39,54,37
Nashville,2014-02,1992,1733126,40,38,17,79,38,78,24,24,43,38,57,26,54,66,43,55,39
Nashville,2014-03,2417,1735737,40,34,11,76,35,83,32,32,39,45,61,21,52,59,46,51,34
Nashville,2014-04,2962,1738348,37,36,10,80,45,74,25,25,33,38,56,18,57,58,41,51,39
Nashville,2014-05,3137,1740959,39,35,15,84,49,80,19,25,33,40,65,15,60,58,44,50,47
Nashville,2014-06,3450,1743570,35,33,11,86,49,83,19,29,40,45,76,16,60,42,45,53,52
Nashville,2014-07,3560,1746182,39,35,16,83,52,83,29,28,35,46,71,11,60,55,48,59,57
Nashville,2014-08,3256,1748793,39,36,15,76,51,80,24,27,41,38,59,12,62,71,47,60,48
Nashville,2014-09,3212,1751404,37,31,15,73,51,72,25,23,39,36,55,9,58,64,43,94,45
Nashville,2014-10,3153,1754015,37,32,12,72,42,75,12,21,35,38,53,10,54,59,44,77,40
Nashville,2014-11,2625,1756626,38,27,12,76,38,73,12,18,31,35,45,5,48,59,80,77,33
Nashville,2014-12,2831,1759237,43,27,14,74,31,72,24,22,30,37,46,6,46,48,77,71,30
Nashville,2015-01,2050,1761848,39,39,22,79,49,77,26,26,32,42,55,7,58,64,43,59,43
Nashville,2015-02,1998,1764575,42,34,16,77,42,82,24,26,40,45,56,11,50,67,45,56,41
Nashville,2015-03,3031,1767302,42,39,20,79,52,83,21,32,42,46,63,5,53,59,44,69,45
Nashville,2015-04,3033,1770029,39,41,15,83,53,85,29,29,36,40,59,6,57,55,44,66,52
Nashville,2015-05,3579,1772755,43,40,12,83,53,89,33,29,33,45,68,7,57,57,50,63,46
Nashville,2015-06,4273,1775482,43,40,20,86,54,89,28,34,40,51,78,11,61,42,51,68,61
Nashville,2015-07,4222,1778209,39,39,18,83,61,84,20,32,31,43,76,6,61,51,51,63,73
Nashville,2015-08,3864,1780936,39,40,22,81,59,81,22,30,29,43,62,7,65,73,46,67,56
Nashville,2015-09,3758,1783663,36,35,20,78,47,77,24,27,24,47,60,3,59,65,44,86,55
Nashville,2015-10,3432,1786390,38,33,23,75,48,76,24,31,25,40,59,3,54,58,50,73,46
Nashville,2015-11,2471,1789116,39,28,12,75,43,73,13,27,20,38,49,7,47,53,83,85,36
Nashville,2015-12,3265,1791843,39,27,11,78,40,78,14,28,20,43,51,7,44,46,81,79,38
Nashville,2016-01,2315,1794570,30,32,14,80,47,77,17,30,22,51,55,6,52,67,42,66,35
Nashville,2016-02,2469,1797297,34,35,14,78,46,83,28,33,26,50,61,8,52,68,42,63,39
Nashville,2016-03,3171,1800024,35,35,18,82,52,88,22,36,23,51,66,6,50,53,43,61,42
Nashville,2016-04,3315,1802751,34,38,18,84,55,86,21,30,20,45,60,3,54,56,42,64,40
Nashville,2016-05,3798,1805477,33,36,14,84,54,91,23,30,18,57,68,9,55,55,46,62,41
Nashville,2016-06,4223,1808204,34,37,20,86,59,88,22,36,19,59,78,2,56,40,53,63,46
Nashville,2016-07,3470,1810931,33,35,19,87,59,88,34,32,20,60,75,3,54,53,51,63,43
Nashville,2016-08,3779,1813658,35,39,24,78,52,86,32,33,23,51,59,7,55,71,47,64,38
Nashville,2016-09,3443,1816385,31,32,19,80,44,83,25,31,20,46,53,6,51,63,46,89,33
Nashville,2016-10,3557,1819112,31,29,17,76,47,79,27,29,17,48,59,5,50,55,47,75,32
Nashville,2016-11,3246,1821838,31,31,12,76,44,73,24,29,15,45,51,4,44,52,74,80,25
Nashville,2016-12,3648,1824565,32,27,14,78,41,77,29,26,15,53,52,5,42,44,72,88,23
Nashville,2017-01,2677,,28,35,18,85,55,80,20,30,18,58,51,6,55,63,45,74,35
Nashville,2017-02,2618,,31,36,18,81,58,84,35,28,17,50,60,5,53,58,45,67,37
Nashville,2017-03,3744,,31,35,18,84,59,84,31,32,17,61,65,7,51,55,47,64,37
Nashville,2017-04,3361,,31,33,14,85,60,85,30,28,17,59,64,3,50,54,46,67,40
Nashville,2017-05,4200,,34,34,14,88,60,90,28,31,20,67,69,6,54,55,49,67,37
Nashville,2017-06,4443,,33,33,24,88,62,93,30,33,17,73,76,3,53,39,52,68,44
Nashville,2017-07,3849,,32,33,20,90,64,98,22,33,16,57,72,5,54,53,54,69,40
Nashville,2017-08,4286,,33,37,21,84,62,86,33,31,18,58,60,4,57,71,52,74,38
Nashville,2017-09,3576,,33,31,20,79,54,84,38,29,17,57,66,5,57,62,47,92,30
Nashville,2017-10,3615,,33,31,16,79,55,84,25,27,15,51,61,6,54,54,52,79,30
Nashville,2017-11,3324,,31,28,15,84,49,80,26,28,15,51,49,5,47,54,79,95,24
Nashville,2017-12,,,31,29,13,84,45,77,32,26,19,55,52,4,43,44,74,100,23
Tampa,2007-01,,2687027,54,85,24,73,36,74,10,49,44,40,81,16,50,61,23,38,35
Tampa,2007-02,,2689112,49,82,25,69,38,72,26,47,45,38,79,3,41,58,23,31,33
Tampa,2007-03,,2691196,52,93,33,73,37,72,29,47,35,45,94,16,44,56,22,35,47
Tampa,2007-04,,2693281,47,78,20,68,38,72,9,42,36,41,92,12,50,58,23,29,48
Tampa,2007-05,,2695365,54,74,23,73,35,82,4,41,48,45,93,14,50,62,24,33,44
Tampa,2007-06,,2697450,55,75,19,71,35,76,9,44,33,46,94,9,56,49,24,32,53
Tampa,2007-07,,2699535,52,97,32,71,40,74,4,45,36,46,93,14,57,52,27,36,39
Tampa,2007-08,,2701619,53,98,21,70,38,78,4,46,41,36,80,16,57,80,24,33,43
Tampa,2007-09,,2703704,50,70,24,66,29,69,0,42,36,37,75,20,57,70,25,44,40
Tampa,2007-10,,2705788,52,65,24,63,28,69,16,34,33,36,72,18,55,67,25,42,30
Tampa,2007-11,,2707873,51,59,17,62,32,73,21,38,44,37,64,11,47,61,41,43,32
Tampa,2007-12,,2709957,54,58,16,60,32,71,16,31,28,37,62,5,46,52,44,52,30
Tampa,2008-01,,2712042,51,88,26,69,34,71,11,44,42,42,75,17,61,60,26,43,40
Tampa,2008-02,,2713497,47,73,30,70,35,75,11,38,37,40,80,20,54,62,25,41,48
Tampa,2008-03,2472,2714952,51,82,30,68,29,77,18,41,40,42,85,12,56,59,26,37,41
Tampa,2008-04,2834,2716407,55,76,23,67,32,81,22,35,43,39,80,14,59,58,25,38,43
Tampa,2008-05,2707,2717862,55,61,20,68,36,88,22,42,43,39,87,2,65,62,29,36,57
Tampa,2008-06,2909,2719317,47,57,11,71,35,89,19,45,41,46,77,20,65,52,30,38,51
Tampa,2008-07,3111,2720772,51,53,14,72,37,78,11,41,44,39,81,24,65,54,27,49,51
Tampa,2008-08,2648,2722226,55,53,19,68,32,69,15,46,38,36,71,21,65,77,29,39,41
Tampa,2008-09,2652,2723681,55,53,19,65,35,66,18,46,43,44,62,28,72,73,27,44,40
Tampa,2008-10,2742,2725136,52,50,8,54,26,65,12,34,29,37,66,36,64,64,26,37,25
Tampa,2008-11,2030,2726591,51,52,16,60,30,73,22,29,39,39,54,31,60,62,46,47,37
Tampa,2008-12,2484,2728046,57,64,39,62,28,70,14,35,48,48,58,44,55,55,52,47,38
Tampa,2009-01,2258,2729501,56,85,43,70,37,74,17,37,60,47,62,42,73,61,29,38,36
Tampa,2009-02,2117,2730822,59,71,16,62,36,73,14,37,62,53,69,44,62,60,28,31,36
Tampa,2009-03,2862,2732143,56,82,32,70,36,74,10,37,44,48,79,43,60,60,30,38,38
Tampa,2009-04,2901,2733463,57,72,52,65,38,77,23,35,46,51,76,36,59,61,28,35,42
Tampa,2009-05,2804,2734784,55,64,25,66,43,78,10,34,55,48,77,32,65,65,28,33,45
Tampa,2009-06,3369,2736105,60,73,22,68,43,82,25,46,49,58,82,42,70,53,33,37,36
Tampa,2009-07,3366,2737426,62,68,24,71,39,81,41,49,42,58,85,38,71,52,31,35,41
Tampa,2009-08,3008,2738746,60,64,14,71,44,81,34,61,44,52,73,35,70,80,32,39,35
Tampa,2009-09,2936,2740067,62,61,21,65,40,70,10,44,49,49,62,49,73,76,29,44,34
Tampa,2009-10,3275,2741388,59,58,18,63,31,74,32,42,41,49,62,42,66,73,33,43,37
Tampa,2009-11,2896,2742709,62,42,21,65,29,75,34,42,38,46,54,37,62,60,55,46,30
Tampa,2009-12,3426,2744029,69,46,13,65,28,71,20,40,38,51,56,37,55,54,53,45,28
Tampa,2010-01,2401,2745350,62,51,19,69,43,73,21,49,51,57,66,24,63,65,33,56,34
Tampa,2010-02,2230,2747414,66,49,15,69,35,76,6,42,68,55,70,39,60,64,31,40,36
Tampa,2010-03,3477,2749477,63,53,20,66,39,78,14,44,65,55,78,32,60,63,30,38,42
Tampa,2010-04,3373,2751541,61,49,15,67,40,76,9,42,51,61,80,24,62,64,33,43,35
Tampa,2010-05,3408,2753605,51,47,15,66,36,82,9,43,59,60,82,33,68,69,32,48,40
Tampa,2010-06,3731,2755668,58,57,22,70,39,79,13,49,66,65,87,62,73,58,33,53,43
Tampa,2010-07,3148,2757732,61,56,30,64,41,81,18,43,62,54,83,100,72,55,32,47,42
Tampa,2010-08,2749,2759796,60,50,26,62,43,73,18,55,60,49,73,25,63,80,33,45,36
Tampa,2010-09,2908,2761859,60,50,27,62,39,72,15,42,65,44,64,13,63,73,33,57,41
Tampa,2010-10,2949,2763923,64,39,24,59,38,70,26,42,61,43,58,20,59,71,36,49,43
Tampa,2010-11,2767,2765987,64,46,18,62,41,69,20,45,69,41,56,22,56,63,57,62,39
Tampa,2010-12,3486,2768050,65,41,21,60,41,73,11,38,70,48,49,43,51,55,58,60,36
Tampa,2011-01,3072,2770114,62,44,13,70,49,72,20,45,74,58,61,15,58,62,39,54,46
Tampa,2011-02,2916,2772089,55,47,8,67,46,76,25,50,78,60,68,21,53,58,38,48,48
Tampa,2011-03,4004,2774064,47,39,14,65,46,80,24,45,71,55,76,23,52,57,36,57,51
Tampa,2011-04,4082,2776039,50,41,12,64,50,71,14,47,73,53,70,24,53,51,36,49,50
Tampa,2011-05,3704,2778014,50,40,11,62,46,74,20,39,67,56,72,23,61,57,38,46,51
Tampa,2011-06,3934,2779989,53,39,10,63,46,76,24,49,70,62,80,17,61,50,41,51,53
Tampa,2011-07,3393,2781964,51,44,14,67,56,79,28,50,79,63,79,14,62,51,43,55,61
Tampa,2011-08,3707,2783939,44,36,18,57,42,68,21,44,69,53,58,16,57,70,39,47,42
Tampa,2011-09,3273,2785914,43,36,17,56,36,67,15,42,64,49,52,16,54,59,37,49,40
Tampa,2011-10,2929,2787889,43,38,23,57,36,64,16,43,57,42,48,22,52,54,40,72,38
Tampa,2011-11,2861,2789864,53,39,25,65,45,70,27,38,65,44,45,12,50,54,66,72,40
Tampa,2011-12,3266,2791839,50,36,19,67,43,68,15,40,65,42,47,17,45,46,64,72,40
Tampa,2012-01,2689,2793814,53,48,24,70,55,72,18,44,74,52,54,19,54,58,42,57,52
Tampa,2012-02,2507,2795933,52,46,26,68,60,76,23,47,79,55,64,19,49,56,40,51,59
Tampa,2012-03,3616,2798052,50,47,27,69,59,77,22,45,70,57,71,12,48,52,40,61,62
Tampa,2012-04,3621,2800171,51,46,23,66,59,77,26,44,72,50,65,13,53,52,37,54,58
Tampa,2012-05,3990,2802290,52,42,23,68,56,79,21,42,70,53,70,18,57,57,38,53,60
Tampa,2012-06,3957,2804409,46,46,28,68,56,78,16,49,68,57,71,12,59,50,40,60,62
Tampa,2012-07,3921,2806528,46,46,29,72,58,79,27,53,70,59,71,13,56,50,42,54,63
Tampa,2012-08,4062,2808646,46,39,17,67,58,71,17,51,69,51,57,17,58,77,44,58,54
Tampa,2012-09,3498,2810765,44,47,27,64,54,75,21,51,67,46,52,19,56,62,40,87,49
Tampa,2012-10,4415,2812884,41,41,27,61,54,67,16,41,58,48,47,25,52,60,41,67,46
Tampa,2012-11,3730,2815003,42,39,21,63,52,68,22,51,68,44,41,24,47,51,72,75,48
Tampa,2012-12,3965,2817122,42,32,18,63,44,69,25,41,76,49,41,21,43,52,69,78,46
Tampa,2013-01,4117,2819241,46,48,20,72,61,71,29,46,81,53,55,21,50,54,41,61,61
Tampa,2013-02,3635,2821907,46,44,17,71,67,77,23,41,82,60,61,7,46,54,41,56,62
Tampa,2013-03,4546,2824573,36,33,15,61,50,76,15,46,62,48,59,11,43,44,39,44,51
Tampa,2013-04,5040,2827240,41,47,24,69,59,74,22,44,74,52,64,13,49,51,38,51,61
Tampa,2013-05,5544,2829906,46,44,23,73,66,77,28,40,74,57,66,14,53,53,40,57,64
Tampa,2013-06,5305,2832572,44,43,21,72,68,78,27,42,74,61,68,10,56,46,44,59,76
Tampa,2013-07,5410,2835238,47,43,15,74,76,79,22,47,72,59,69,14,56,50,46,55,71
Tampa,2013-08,5158,2837904,45,41,15,69,73,76,24,47,81,53,57,7,58,76,46,57,67
Tampa,2013-09,4573,2840570,44,37,18,70,65,72,22,43,75,51,51,13,54,58,43,76,51
Tampa,2013-10,4669,2843237,42,38,10,67,62,73,25,40,66,51,49,21,55,59,45,63,52
Tampa,2013-11,3912,2845903,39,35,11,73,59,71,24,36,69,51,45,11,48,50,72,71,47
Tampa,2013-12,4628,2848569,41,31,10,71,51,73,21,42,63,53,48,33,44,43,70,71,51
Tampa,2014-01,3742,2851235,42,40,15,77,69,72,24,42,66,60,55,32,53,53,41,56,58
Tampa,2014-02,3968,2854337,51,37,11,78,73,80,22,43,75,63,61,34,51,52,41,54,63
Tampa,2014-03,4796,2857439,42,34,8,78,73,78,24,40,64,67,65,27,48,47,42,51,65
Tampa,2014-04,5401,2860541,43,37,12,74,79,78,19,36,66,59,61,41,53,50,41,53,67
Tampa,2014-05,5494,2863643,46,35,16,77,74,80,22,36,61,55,65,22,58,53,44,55,72
Tampa,2014-06,5654,2866745,51,41,17,80,88,82,29,41,69,59,73,24,60,47,45,58,84
Tampa,2014-07,5800,2869847,45,36,14,79,81,81,20,45,63,62,68,24,60,49,48,53,84
Tampa,2014-08,5692,2872948,46,38,14,73,81,78,32,43,60,52,58,24,57,72,48,55,74
Tampa,2014-09,5182,2876050,55,34,12,71,80,74,22,42,58,50,51,12,59,56,44,91,63
Tampa,2014-10,5656,2879152,52,34,14,69,71,74,23,37,52,47,46,13,53,56,45,70,55
Tampa,2014-11,4563,2882254,52,28,10,74,68,74,18,38,42,55,42,6,46,48,74,78,51
Tampa,2014-12,5984,2885356,55,30,12,74,64,73,15,37,47,59,45,10,44,42,72,69,51
Tampa,2015-01,4344,2888458,51,44,22,80,82,76,26,39,54,65,57,8,54,54,43,63,73
Tampa,2015-02,4484,2891729,56,40,15,78,81,81,25,43,53,65,63,7,50,55,43,60,69
Tampa,2015-03,6238,2895001,48,42,18,83,89,83,26,39,58,66,70,8,52,49,43,67,80
Tampa,2015-04,6526,2898272,46,38,19,82,91,83,30,39,56,65,64,6,52,49,46,65,78
Tampa,2015-05,6313,2901543,45,38,18,80,89,85,32,37,52,69,67,8,55,52,48,61,74
Tampa,2015-06,7307,2904815,49,40,20,80,95,86,28,44,50,74,69,11,56,44,47,67,86
Tampa,2015-07,6947,2908086,49,43,14,81,100,82,27,39,48,71,71,4,57,47,49,66,87
Tampa,2015-08,6222,2911357,46,42,13,78,98,86,41,40,54,63,56,10,57,74,47,63,72
Tampa,2015-09,6029,2914629,45,39,16,77,90,80,25,40,43,73,53,7,55,60,44,85,63
Tampa,2015-10,5807,2917900,45,37,14,74,88,83,23,38,46,65,53,7,49,57,47,70,59
Tampa,2015-11,5086,2921171,43,34,17,80,77,77,28,32,39,63,46,6,47,48,71,88,55
Tampa,2015-12,6069,2924443,49,33,15,76,72,76,17,34,39,64,49,7,42,40,70,85,54
Tampa,2016-01,4672,2927714,39,36,13,82,80,80,19,37,39,73,60,12,51,48,42,63,53
Tampa,2016-02,4806,2930985,39,35,17,80,77,85,28,39,34,77,68,8,46,48,40,59,58
Tampa,2016-03,6343,2934257,37,36,17,80,83,88,27,36,38,79,69,5,48,44,42,62,58
Tampa,2016-04,6261,2937528,36,35,20,79,84,87,19,36,32,69,70,5,49,46,40,64,56
Tampa,2016-05,6605,2940799,39,35,18,78,83,88,26,34,31,82,71,9,51,48,43,61,55
Tampa,2016-06,6806,2944071,38,34,20,76,82,88,31,38,25,82,71,8,52,45,50,64,59
Tampa,2016-07,6238,2947342,39,38,22,82,85,92,24,38,25,82,72,7,52,46,52,62,67
Tampa,2016-08,6310,2950613,39,35,23,72,82,83,19,40,32,76,57,6,52,67,44,62,52
Tampa,2016-09,5836,2953885,38,32,20,79,75,84,22,40,30,71,55,4,52,56,45,85,46
Tampa,2016-10,5760,2957156,39,29,20,76,74,82,24,36,29,73,53,6,48,52,45,69,48
Tampa,2016-11,5778,2960427,38,30,14,76,69,84,28,37,27,69,50,7,45,46,71,82,44
Tampa,2016-12,6685,2963699,40,32,15,78,67,88,24,37,25,82,49,4,42,40,73,89,41
Tampa,2017-01,5117,,39,37,14,82,86,84,28,39,26,89,61,8,51,49,47,72,54
Tampa,2017-02,5154,,40,37,14,79,91,89,27,39,30,80,66,6,47,49,48,66,58
Tampa,2017-03,6906,,37,38,17,80,90,97,29,48,26,97,74,9,47,45,49,66,63
Tampa,2017-04,6345,,37,36,14,83,95,91,30,39,28,93,69,6,49,48,50,73,57
Tampa,2017-05,7447,,41,38,19,82,89,98,28,41,25,90,70,4,53,52,49,69,59
Tampa,2017-06,7971,,44,37,21,86,92,94,26,48,29,100,73,7,56,41,51,69,57
Tampa,2017-07,6913,,42,35,20,86,92,96,28,51,28,91,73,5,51,47,55,69,64
Tampa,2017-08,6894,,45,33,18,81,88,93,30,46,29,80,61,3,56,70,53,69,52
Tampa,2017-09,5109,,44,33,11,91,72,78,22,39,20,88,86,8,44,49,57,75,61
Tampa,2017-10,6055,,43,34,14,79,87,93,30,43,28,78,60,8,49,53,52,74,48
Tampa,2017-11,5547,,44,31,13,85,76,89,38,43,23,78,51,7,45,45,78,92,42
Tampa,2017-12,,,45,29,14,80,74,88,26,42,26,79,52,4,42,40,77,95,39
